[2016-03-29 02:54:14,334] [__main__] [INFO] LS0tLS1CRUdJTiBQVUJMSUMgS0VZLS0tLS0KTUlHZk1BMEdDU3FHU0liM0RRRUJBUVVBQTRHTkFEQ0JpUUtCZ1FDMEdHYU1qZGpYU0ZGM0dJL2Rvd1hzckFxYgpnbVFyTVBDUE5xRXNlY1N3L1Y2WWZLNHF2S2ZpT3BiaWtwSjBZRDVydW8zcWZSNHdxWjQwRXBGSUplQlFVTHlVCmJrMlVtdk85cGJSUDI2NlREQkNFRmxBWWZ0dStpV3AvVUUySC9qSHp4dWdVY1lCNzIyMUY4UFh3VFNiMlk0eFcKeFRpSHBET1R5c25aTkR4UzJ3SURBUUFCCi0tLS0tRU5EIFBVQkxJQyBLRVktLS0tLQ==
[2016-03-29 02:55:23,940] [__main__] [INFO] LS0tLS1CRUdJTiBQVUJMSUMgS0VZLS0tLS0KTUlHZk1BMEdDU3FHU0liM0RRRUJBUVVBQTRHTkFEQ0JpUUtCZ1FDMEdHYU1qZGpYU0ZGM0dJL2Rvd1hzckFxYgpnbVFyTVBDUE5xRXNlY1N3L1Y2WWZLNHF2S2ZpT3BiaWtwSjBZRDVydW8zcWZSNHdxWjQwRXBGSUplQlFVTHlVCmJrMlVtdk85cGJSUDI2NlREQkNFRmxBWWZ0dStpV3AvVUUySC9qSHp4dWdVY1lCNzIyMUY4UFh3VFNiMlk0eFcKeFRpSHBET1R5c25aTkR4UzJ3SURBUUFCCi0tLS0tRU5EIFBVQkxJQyBLRVktLS0tLQ==
[2016-03-29 02:55:23,941] [__main__] [INFO] Server started
[2016-03-29 03:12:08,634] [__main__] [INFO] senz received:  SHARE #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDkzJ5Wm+I6i4mDNZnahne/XUpmJS/FunjYTMoLaDRAYX5pXJOfx68bpmI4SZcJG9D8tr98RB5XpufN6SxvA/AV1/cN5PkXg/vBOtCU/vibHM5LBseBTrxnOrKl1SZ9T6y1pnu8Wxe4S+36xIT2Ocp/GCP9LSsgV4rBU7Ab2ejgqQIDAQAB #time 1459239128 @mysensors ^sdbltrans k2ygONqz2qC7zGIO3PrbUwd3Bbhg6zviceg1pT2C1yZaSLJgus6NHQb8cCvyn6bUKYiCAn0RocKeXYzWfCls0+NzROCfz9waJx6SpPLgf3KvuZjA+J+fZilkT20airC+OzG+USWlwKxZX7G7eUQCk/ZlJRRTMwLvYF3Ufd0n1SI=
[2016-03-29 03:12:08,635] [myParser] [INFO] SHARE #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDkzJ5Wm+I6i4mDNZnahne/XUpmJS/FunjYTMoLaDRAYX5pXJOfx68bpmI4SZcJG9D8tr98RB5XpufN6SxvA/AV1/cN5PkXg/vBOtCU/vibHM5LBseBTrxnOrKl1SZ9T6y1pnu8Wxe4S+36xIT2Ocp/GCP9LSsgV4rBU7Ab2ejgqQIDAQAB #time 1459239128 @mysensors ^sdbltrans k2ygONqz2qC7zGIO3PrbUwd3Bbhg6zviceg1pT2C1yZaSLJgus6NHQb8cCvyn6bUKYiCAn0RocKeXYzWfCls0+NzROCfz9waJx6SpPLgf3KvuZjA+J+fZilkT20airC+OzG+USWlwKxZX7G7eUQCk/ZlJRRTMwLvYF3Ufd0n1SI=
[2016-03-29 03:12:39,051] [__main__] [INFO] senz received:  SHARE #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDkzJ5Wm+I6i4mDNZnahne/XUpmJS/FunjYTMoLaDRAYX5pXJOfx68bpmI4SZcJG9D8tr98RB5XpufN6SxvA/AV1/cN5PkXg/vBOtCU/vibHM5LBseBTrxnOrKl1SZ9T6y1pnu8Wxe4S+36xIT2Ocp/GCP9LSsgV4rBU7Ab2ejgqQIDAQAB #time 1459239128 @mysensors ^sdbltrans k2ygONqz2qC7zGIO3PrbUwd3Bbhg6zviceg1pT2C1yZaSLJgus6NHQb8cCvyn6bUKYiCAn0RocKeXYzWfCls0+NzROCfz9waJx6SpPLgf3KvuZjA+J+fZilkT20airC+OzG+USWlwKxZX7G7eUQCk/ZlJRRTMwLvYF3Ufd0n1SI=
[2016-03-29 03:12:39,051] [myParser] [INFO] SHARE #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDkzJ5Wm+I6i4mDNZnahne/XUpmJS/FunjYTMoLaDRAYX5pXJOfx68bpmI4SZcJG9D8tr98RB5XpufN6SxvA/AV1/cN5PkXg/vBOtCU/vibHM5LBseBTrxnOrKl1SZ9T6y1pnu8Wxe4S+36xIT2Ocp/GCP9LSsgV4rBU7Ab2ejgqQIDAQAB #time 1459239128 @mysensors ^sdbltrans k2ygONqz2qC7zGIO3PrbUwd3Bbhg6zviceg1pT2C1yZaSLJgus6NHQb8cCvyn6bUKYiCAn0RocKeXYzWfCls0+NzROCfz9waJx6SpPLgf3KvuZjA+J+fZilkT20airC+OzG+USWlwKxZX7G7eUQCk/ZlJRRTMwLvYF3Ufd0n1SI=
[2016-03-29 03:13:09,066] [__main__] [INFO] senz received:  SHARE #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDkzJ5Wm+I6i4mDNZnahne/XUpmJS/FunjYTMoLaDRAYX5pXJOfx68bpmI4SZcJG9D8tr98RB5XpufN6SxvA/AV1/cN5PkXg/vBOtCU/vibHM5LBseBTrxnOrKl1SZ9T6y1pnu8Wxe4S+36xIT2Ocp/GCP9LSsgV4rBU7Ab2ejgqQIDAQAB #time 1459239128 @mysensors ^sdbltrans k2ygONqz2qC7zGIO3PrbUwd3Bbhg6zviceg1pT2C1yZaSLJgus6NHQb8cCvyn6bUKYiCAn0RocKeXYzWfCls0+NzROCfz9waJx6SpPLgf3KvuZjA+J+fZilkT20airC+OzG+USWlwKxZX7G7eUQCk/ZlJRRTMwLvYF3Ufd0n1SI=
[2016-03-29 03:13:09,067] [myParser] [INFO] SHARE #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDkzJ5Wm+I6i4mDNZnahne/XUpmJS/FunjYTMoLaDRAYX5pXJOfx68bpmI4SZcJG9D8tr98RB5XpufN6SxvA/AV1/cN5PkXg/vBOtCU/vibHM5LBseBTrxnOrKl1SZ9T6y1pnu8Wxe4S+36xIT2Ocp/GCP9LSsgV4rBU7Ab2ejgqQIDAQAB #time 1459239128 @mysensors ^sdbltrans k2ygONqz2qC7zGIO3PrbUwd3Bbhg6zviceg1pT2C1yZaSLJgus6NHQb8cCvyn6bUKYiCAn0RocKeXYzWfCls0+NzROCfz9waJx6SpPLgf3KvuZjA+J+fZilkT20airC+OzG+USWlwKxZX7G7eUQCk/ZlJRRTMwLvYF3Ufd0n1SI=
[2016-03-29 03:17:13,292] [__main__] [INFO] LS0tLS1CRUdJTiBQVUJMSUMgS0VZLS0tLS0KTUlHZk1BMEdDU3FHU0liM0RRRUJBUVVBQTRHTkFEQ0JpUUtCZ1FDMEdHYU1qZGpYU0ZGM0dJL2Rvd1hzckFxYgpnbVFyTVBDUE5xRXNlY1N3L1Y2WWZLNHF2S2ZpT3BiaWtwSjBZRDVydW8zcWZSNHdxWjQwRXBGSUplQlFVTHlVCmJrMlVtdk85cGJSUDI2NlREQkNFRmxBWWZ0dStpV3AvVUUySC9qSHp4dWdVY1lCNzIyMUY4UFh3VFNiMlk0eFcKeFRpSHBET1R5c25aTkR4UzJ3SURBUUFCCi0tLS0tRU5EIFBVQkxJQyBLRVktLS0tLQ==
[2016-03-29 03:17:13,294] [__main__] [INFO] Server started
